Matrícula;Nome;Média Disciplinas/Período;Média Avaliações/Disciplina;Média Notas Avaliações
3401312693;Ana Lima Cavalcanti;0.0;0.0;0.0
5713596735;André De Sá;1.5;0.0;0.0
4019368573;Brenda Souza Carvalho;1.5;0.0;0.0
9999452556;Caio Pinto Souza;1.5;0.0;0.0
9961165321;Camila Azevedo Sousa;1.5;0.0;0.0
9999120131;Clara Pinto Carvalho;1.5;0.0;0.0
2623803471;Danilo Azevedo Cunha;1.5;0.0;0.0
9999325421;Danilo Pinto Cavalcanti;0.0;0.0;0.0
9999981794;Davi Azevedo Rodrigues;1.5;0.0;0.0
6015001974;Fausto Vigário;1.5;0.0;0.0
2993638855;Igor Almeida Oliveira;0.0;0.0;0.0
7555297945;Júlio Goncalves Silva;1.5;0.0;0.0
8526910334;Larissa Ferreira Fernandes;0.0;0.0;0.0
3705099218;Leonor Azevedo Fernandes;0.0;0.0;0.0
1546467254;Lineu Domingues;0.0;0.0;0.0
9786834596;Lucinda Belém;0.0;0.0;0.0
9999654103;Marcos Pereira Almeida;1.5;0.0;0.0
7256019053;Natividade Camelo;0.0;0.0;0.0
6289397410;Nazaré Toscano;0.0;0.0;0.0
6813487280;Nelson Espartero;0.0;0.0;0.0
6656305853;Nídia Feitosa;1.5;0.0;0.0
3732202323;Quévin Cysneiros;1.5;0.0;0.0
9999119789;Rafael Barbosa Araujo;1.5;0.0;0.0
6909020365;Sónia Roriz;1.5;0.0;0.0
2026476710;Tobias Collares;1.5;0.0;0.0
5728315830;Ubiratã Madureira Filho;1.5;0.0;0.0
1365816891;Umbelina Filipe;1.5;0.0;0.0
4696259711;Vitória Fernandes Goncalves;1.5;0.0;0.0
9899416512;Yasmin Azevedo Santos;1.5;0.0;0.0
1957566270;Zilda Rico;1.5;0.0;0.0
